max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
533;185;1036;1000;3;6;11254;11304
475;42;392;1000;1;4;13620;13868
632;0;2076;1000;0;6;14669;15872
476;74;396;1000;1;4;14640;14745
474;289;2248;1000;8;36;16897;16534
1269;0;950;1000;0;4;18579;18404
475;30;1428;1600;1;10;18945;18381
411;18;742;2000;1;8;19704;18510
789;197;1493;2000;4;12;20405;20443
598;286;1778;2000;4;8;20279;19209
775;380;2959;2000;2;12;21168;20599
578;44;1902;2000;1;14;21935;20383
279;252;1206;2000;5;10;23025;21267
583;257;2017;2000;3;14;23591;23072
546;414;2190;2000;4;8;23358;22419
530;455;2585;2400;5;12;24162;23391
365;158;1133;2400;3;7;24141;22546
726;542;2563;3000;4;11;24104;22551
503;234;1595;3000;4;11;26001;26043
652;61;1676;3000;1;14;24885;23254
554;61;2108;3000;2;15;25115;23324
289;319;1356;3000;6;13;26127;24205
1780;1139;6030;3000;4;12;26089;24244
923;721;3755;3000;4;13;25991;24464
1075;387;3256;3000;4;12;26230;23876
446;88;1312;3000;3;10;27165;27261
778;216;2510;3000;3;19;27048;24860
1045;780;4294;3000;3;10;26606;24561
370;198;1610;3000;3;11;27177;24537
651;358;1979;3000;4;14;28058;26049
1293;547;4422;3000;4;14;27618;24817
346;288;1437;3000;4;11;28045;26116
1104;490;3151;3000;5;13;28509;26495
523;360;1525;3000;5;10;29963;28436
284;152;1033;3000;4;17;30506;27447
610;86;1781;3200;2;9;30916;28667
581;499;2820;3200;4;16;30215;27398
1206;679;4048;3200;4;8;30637;27955
1213;297;3867;3200;2;12;30828;29823
381;122;1293;3200;4;10;31857;29732
470;285;1686;3200;4;8;31782;28553
388;309;1424;3200;6;13;30883;27496
372;258;1410;3200;5;8;31685;27816
231;28;394;3200;2;7;31321;29004
420;106;733;3200;3;11;31480;28375
436;92;2091;3200;2;9;31275;28465
371;137;1095;3200;4;9;31919;28623
598;350;2421;3200;4;10;32213;28721
384;129;1560;4000;3;11;32448;29488
385;210;1150;4000;6;18;32434;29215
291;128;1066;4000;3;9;33238;29656
360;281;1230;4000;5;14;33148;29024
944;735;3876;4000;5;12;33081;29219
492;202;1526;4000;5;15;33938;30317
1157;626;3577;4000;5;17;34785;30592
464;165;1723;4000;3;20;35028;32312
300;284;1415;4000;5;18;35286;31596
506;370;1843;4000;5;18;35462;32705
472;300;1685;4000;5;17;35087;30349
718;234;3152;4000;4;24;35640;31319
231;266;913;4000;7;16;35207;30827
606;555;2832;4000;6;9;35785;31338
360;272;1540;4000;5;9;36080;31657
514;320;1823;4000;5;19;35648;31829
373;192;1431;4000;4;19;36735;32538
309;237;1218;4000;5;16;36610;31957
541;412;2472;4000;5;9;36606;31779
309;104;1099;4000;3;19;36930;32853
777;345;2779;4000;4;14;36945;32182
443;254;2135;4000;4;15;37062;32583
314;408;1506;4000;6;17;36451;31353
277;260;1313;4000;6;14;36908;32647
1870;955;7591;4000;4;18;37479;32797
1031;507;3585;4000;5;9;39384;36912
385;349;1249;4000;6;13;39377;35723
796;551;3054;4000;6;20;38064;33417
373;154;1300;4000;3;12;39907;37053
463;388;1893;4000;7;18;39003;33696
1767;776;6476;4000;4;16;38735;34332
1012;436;3480;4000;4;21;38787;34281
534;381;2163;4000;6;14;39360;34328
568;646;2341;4000;7;10;39511;34750
422;173;1220;4000;4;14;39529;34416
427;276;1476;4000;5;14;40272;34447
612;306;1978;4000;5;13;39950;35640
1214;529;3986;4000;4;14;40744;35673
622;518;2324;4000;8;11;40895;37177
1322;1004;4847;4000;9;25;40472;34802
1118;159;3258;4000;2;15;40579;35381
586;349;2187;4000;4;15;40703;35650
504;381;1955;4000;6;15;40431;34846
309;218;1291;4000;5;18;40648;35109
1210;663;4413;4000;5;20;41007;36051
551;397;1957;4000;5;8;40682;35560
377;419;1570;4000;8;21;40729;36522
559;172;2056;4000;1;16;40951;35520
382;245;931;4000;5;16;41073;36379
394;293;1405;4000;5;17;41568;35487
384;244;1379;4000;5;11;41017;36590
233;202;926;4780;9;10;41785;36002
395;211;1504;4800;5;12;41403;36671
338;252;1632;4800;6;10;41288;36137
372;305;1682;4800;7;24;42157;38175
215;126;806;4800;5;8;42192;36755
253;113;1050;4800;4;22;42421;37188
327;253;1515;4800;5;9;41461;36704
516;620;2321;4800;8;23;41783;37212
1091;342;3774;4800;4;15;41394;35078
385;306;1365;4800;8;12;42566;36490
371;202;1600;4800;4;13;43323;39893
945;551;3511;4800;6;18;42210;36466
520;253;2562;4800;5;14;41815;36624
386;345;1750;4800;7;10;41674;35899
385;288;1838;4800;5;10;43290;38124
633;264;2376;4800;4;21;42726;36729
315;254;1300;4800;7;13;42437;37022
276;168;1210;4980;4;19;42594;37987
328;202;1362;4980;5;20;42622;37399
449;603;1675;5000;10;20;42652;37299
381;576;1718;5000;8;21;43219;38851
508;407;2776;5000;6;25;43745;37625
776;301;2712;5000;4;16;43788;38140
384;251;1500;5000;5;19;43320;38578
371;189;1295;5000;5;18;43937;37709
249;161;781;5000;7;24;43068;37314
357;443;1382;5000;8;26;43359;36614
504;104;1795;5000;3;23;44025;37743
371;180;1279;5000;5;20;43340;37652
1029;545;3211;5000;4;16;43589;38283
540;208;2325;5000;3;18;43443;36979
1243;1126;5357;5000;7;18;44584;38465
306;200;1132;5000;5;16;43688;38118
375;226;1539;5000;3;16;43690;37987
417;164;910;5000;6;18;43927;39617
983;884;4229;5000;5;16;44471;38308
548;397;1803;5000;6;16;44559;38100
1673;1984;8241;5000;6;16;44914;38927
778;797;3097;5000;7;18;44190;39309
462;312;2023;5000;4;17;44301;39170
369;311;1305;5000;8;18;44803;38381
623;435;2066;5000;7;19;44876;38445
330;325;1210;5000;7;20;45005;38814
418;294;1739;5000;4;16;44376;38452
898;308;3206;5000;5;20;44405;38965
391;299;1023;5000;9;16;44761;37747
571;311;2604;5000;3;18;44964;38290
419;277;1460;5000;5;18;44916;39361
1241;878;4863;5000;6;19;45224;39474
384;206;1459;5000;5;18;45185;39581
1684;2200;8240;5000;10;19;45067;39052
364;233;1683;5000;4;20;47005;40781
544;544;2356;5000;7;18;45902;39638
580;398;2417;5000;6;23;46180;39445
409;406;1357;5000;5;17;46126;39786
1136;554;3811;5000;5;18;46368;39758
588;342;2274;5000;5;19;46172;40017
709;404;2622;5000;6;18;46637;40461
421;419;1549;5000;7;18;45844;39366
391;442;1808;5000;7;19;45920;38986
475;170;1601;5000;3;18;45933;38954
634;683;2626;5000;7;18;46237;39424
475;250;1720;5000;5;23;46844;40269
385;278;1624;5000;6;22;46909;40768
339;260;1465;5600;7;13;46127;38784
482;467;2087;5600;8;12;46415;40344
383;492;2186;5600;10;11;46686;40442
394;273;1345;5600;7;19;47330;40484
387;234;1285;5600;7;12;47004;40842
1317;677;4126;5600;6;10;46816;40157
530;306;1887;5600;6;10;46872;39929
1837;1440;7833;5600;6;27;47160;40593
1123;633;4252;5600;6;12;46951;39859
953;719;3562;5600;7;25;48199;42407
1193;1216;7016;5600;5;12;48579;41515
524;294;2008;5600;6;11;49021;42202
352;210;1391;5600;5;10;47988;40422
380;269;1531;5600;6;23;47622;39749
288;231;1127;5600;8;16;48459;41034
472;408;2470;5600;7;14;48485;43770
1748;1653;6489;5600;7;21;49069;41109
372;246;1590;6000;5;24;48551;40564
397;253;1389;6000;7;21;49214;42594
470;233;1617;6000;5;20;49264;42174
365;359;1810;6000;6;19;48500;41702
481;390;1911;6000;6;21;48975;42672
326;355;1403;6000;9;22;48198;41160
1267;701;4401;6000;6;22;48603;42437
338;242;1639;6000;6;20;48894;41773
376;271;1667;6000;6;22;49633;43051
377;365;1893;6000;6;20;49694;41665
406;421;1786;6000;8;23;49410;41565
632;350;2487;6000;5;19;49589;41631
431;256;1306;6000;7;24;49787;42592
1714;1434;6568;6000;8;22;49797;42336
474;403;2112;6000;6;21;50515;42710
346;207;1269;6000;6;23;50191;42482
1207;492;4279;6000;6;24;50557;42568
373;450;1841;6000;7;21;49767;42864
569;138;2341;6000;4;30;50168;42768
1188;1534;4178;6000;9;17;51494;44353
371;428;1604;6000;8;22;51274;45962
385;458;1824;6000;9;23;51000;42667
460;329;1710;6000;6;19;51220;44841
864;507;3210;6000;6;21;51259;43790
304;201;1460;6000;5;18;50687;41991
382;257;1578;6000;6;22;51050;42800
1349;1156;6271;6000;6;22;51438;43600
563;414;1707;6000;9;22;51769;45125
509;401;2183;6000;6;24;50773;43677
994;754;4058;6000;5;21;50769;42675
371;235;1538;6000;5;20;50968;42618
337;550;1613;6000;8;24;51095;43580
622;554;2908;6000;6;20;51108;43727
404;243;1502;6000;6;22;51727;43621
545;327;1693;6000;9;22;51801;44306
412;236;1612;6000;5;20;51847;44406
1204;978;4472;6000;8;23;51341;43864
366;248;1397;6000;8;27;51651;43772
404;204;1508;6000;6;29;51545;43843
1409;640;5307;6000;5;20;52285;44057
380;274;1562;6000;5;18;51466;42742
1887;2461;9369;6000;9;21;53439;46820
592;357;2693;6000;6;24;51497;43753
933;832;4657;6000;7;26;52016;43046
520;685;2774;6000;8;21;52254;45037
1241;1484;6678;6000;6;24;52567;44010
377;281;1579;6000;6;20;53183;45829
533;350;2158;6000;6;20;52287;44437
379;214;1497;6000;5;25;52083;44615
335;198;1201;6000;6;19;52110;44237
377;351;1679;6000;8;22;52324;43623
1160;585;4218;6000;6;21;51663;42946
361;164;1306;6000;5;22;52069;43896
792;406;2958;6000;5;22;53152;44142
1203;804;4327;6000;8;20;52078;43170
1582;1025;8445;6000;6;25;52907;44601
609;430;2419;6000;5;20;53511;45842
581;466;2596;6000;6;19;52920;44476
1053;714;3390;6000;6;19;52586;44696
492;300;1968;6000;6;23;52982;46019
543;617;2393;6000;7;19;53879;46751
354;478;1662;6000;8;20;52526;43612
416;294;1566;6000;6;22;52963;44589
408;264;1638;6000;6;20;53282;46041
413;125;1940;6000;3;24;54112;46131
434;577;2255;6000;8;23;54298;45341
787;472;3701;6000;4;29;53396;44869
378;326;1594;6000;8;23;53262;45133
427;277;1644;6000;6;19;53731;45761
470;271;1806;6000;5;20;53242;45208
378;291;1682;6000;6;19;53784;45836
612;339;2268;6000;5;19;53521;44416
203;186;693;6000;8;17;55023;48094
610;288;2296;6000;7;21;53894;45097
274;226;1106;6000;6;21;54398;44983
250;301;1434;6000;7;22;55329;47832
450;422;1991;6000;6;24;54876;44785
571;614;2761;6000;6;20;54316;46206
361;243;1452;6000;5;23;54102;45530
1146;739;3876;6000;6;24;54822;46282
501;261;2019;6000;5;23;54582;46208
900;1100;6022;6000;8;29;55179;45921
1144;261;4025;6000;3;24;55644;47103
629;372;2258;6000;6;21;55692;46802
380;306;1416;6000;7;19;54840;46067
1079;1097;4669;6000;8;21;54365;46203
552;615;2981;6000;8;24;54932;46770
1205;681;4636;6000;6;27;55497;46319
437;286;1630;6000;7;19;55527;46753
350;107;1276;6000;2;25;56867;48680
388;316;1501;6000;7;21;58165;53535
390;435;2024;6000;8;26;57259;50109
