max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
454;865;3338;18000;22;59;1558596;10819
616;487;2476;6000;6;21;52084;439
1869;1850;6927;6000;8;21;53471;457
437;418;1899;9940;9;33;104082;820
1092;1158;5793;6000;7;22;53315;449
419;942;2676;10000;13;32;115322;895
376;692;2515;8000;11;28;80333;646
630;402;2361;7000;6;23;65460;538
627;385;2503;8000;7;26;75325;614
924;779;3829;11000;8;40;143051;1100
831;700;5117;9000;7;32;92997;750
280;187;1226;6980;6;28;64368;533
338;403;1861;10000;10;34;113078;885
260;358;1656;8000;8;28;75656;608
460;561;3420;18000;12;56;1503194;10428
336;232;1441;10000;8;32;115851;917
566;75;806;1000;1;5;15010;150
789;1284;5475;20000;14;53;1611684;11059
318;293;1488;7000;8;24;64368;528
612;705;3220;8000;7;28;77123;619
335;149;1207;7000;6;26;64377;533
569;513;2232;10000;11;33;113260;884
866;479;3689;10000;7;35;114037;889
1157;1600;7211;11000;11;43;136466;1045
581;361;2552;6000;6;23;52395;443
614;933;5214;19000;22;71;1684427;11596
509;194;1591;4000;4;15;36603;322
326;311;1627;11000;11;33;135857;1052
427;606;2858;13000;14;50;332364;2420
439;302;1977;8000;6;27;76952;630
407;258;1463;5000;5;16;44735;387
317;454;1907;8000;9;27;75897;611
346;261;1276;4000;5;14;39085;347
752;268;2450;4000;3;18;37593;331
468;849;3240;17000;20;54;1134926;7988
1353;1891;8329;12000;16;39;190592;1437
569;500;2221;10000;11;33;113293;884
557;1051;4314;13000;13;41;283500;2088
703;1186;4623;9000;10;32;93026;744
293;196;1080;6000;6;19;52570;442
384;222;1652;6000;5;22;50661;432
233;324;1115;10000;15;38;116845;922
250;145;889;2000;3;9;20664;200
318;381;1600;6000;9;22;50848;439
1006;937;3980;8000;8;26;77220;626
578;451;2284;4000;6;18;38315;335
583;922;3062;10000;11;33;115361;898
339;291;1521;6000;6;25;52588;441
420;681;2154;11000;16;35;146560;1125
406;347;1732;7000;6;26;65506;539
418;667;2856;10000;12;32;115428;898
422;404;2119;9000;9;30;95302;751
372;496;2116;7000;10;28;62471;520
