,Paths,Cooling,Heating
0,../datasets/vectors/00/de/896a99160b0aac27d72b2171e1e6,300140,218462
1,../datasets/vectors/00/de/924a19183a5ca88701bf813aca02,83068,66225
2,../datasets/vectors/00/de/b14b98b1da9b7872f67aa61c7f5a,98607,78450
3,../datasets/vectors/00/de/b22ccc9c3633c520c66602f4537b,51801,44306
4,../datasets/vectors/00/de/b5a22799432809e57439c14ad630,94245,74710
5,../datasets/vectors/00/de/c74c21d49e82f188546f5c8397bd,100863,79605
6,../datasets/vectors/00/de/dd75aad43beb563fd4f66b72fd6f,74224,60432
7,../datasets/vectors/00/de/e7156ef058cc2d89f7486549360a,39003,33696
8,../datasets/vectors/00/de/fa069343c85029776bc1b8e2a5f1,96370,76533
9,../datasets/vectors/00/df/0703a3841b09fe3015a633383d61,50557,42568
10,../datasets/vectors/00/df/3698abd439e0c087703dcbcb55f7,45104,32461
11,../datasets/vectors/00/df/435bef6fadb2112f1db71c730ac3,162474,123200
12,../datasets/vectors/00/df/499dacb4884974f02cce43a20dab,35231,26981
13,../datasets/vectors/00/df/541cf1b4184d4b7528bc6181cb7e,563030,405348
14,../datasets/vectors/00/df/574aa887243bafea795e7270b114,101903,81698
15,../datasets/vectors/00/df/642fab24dd66f745b13b74e2c746,713839,503436
16,../datasets/vectors/00/df/7048a8aed89f82e5a601813ed870,82338,65908
17,../datasets/vectors/00/df/834856bc7d4ef834ba72f4cfaeb9,179578,134809
18,../datasets/vectors/00/df/9a95cf599b7fdc46dce7f4ace376,58533,48140
19,../datasets/vectors/00/df/9cb31dad7f999eb0efc66361d628,357556,258970
20,../datasets/vectors/00/df/a08d0f9e1cf97ee1e18d3f209fc4,102452,80403
21,../datasets/vectors/00/df/ab9340a02711a3f67574cfd15dfa,206813,154515
22,../datasets/vectors/00/df/cfc94cb245375dfa953931ebb352,361125,263818
23,../datasets/vectors/00/df/db139ce1036eac867a28437588ba,102290,79776
24,../datasets/vectors/00/e0/062efbae03896ad4600da4bfced9,147920,117856
25,../datasets/vectors/00/e0/0a4a909fe83c26577f923d0b2a8e,220618,164666
26,../datasets/vectors/00/e0/0d53530a321d616f0086505a2904,117092,91416
27,../datasets/vectors/00/e0/2201c664004e33134ec1a668b744,70803,57739
28,../datasets/vectors/00/e0/245225497d8d195b8ca4b04cfc87,130951,100428
29,../datasets/vectors/00/e0/3d651cbe94c5f065894982e1e9e1,112733,88511
30,../datasets/vectors/00/e0/4618d0c7f97a98f28b18dd27e5bc,78382,52963
31,../datasets/vectors/00/e0/4c75711663cd0740bf328a9d5e2c,45715,33714
32,../datasets/vectors/00/e0/69e7e1ec845482a9f370ba64e31e,189567,143056
33,../datasets/vectors/00/e0/6b567badc468b4e762531ba8adde,438277,315949
34,../datasets/vectors/00/e0/80cc90131f5b4fa2dfd4ea143862,30916,28667
35,../datasets/vectors/00/e0/8fe0500ff7d335907ce232c214d2,102293,81098
36,../datasets/vectors/00/e0/9193212a04f3efd42cef16333e2f,59709,48953
37,../datasets/vectors/00/e0/adbd5957790ffad5c9bbe317632f,146805,113853
38,../datasets/vectors/00/e0/b450df3961844d20aecef10f6f5c,401506,288665
39,../datasets/vectors/00/e0/df4ef3bc51743a11c67e77f5a4ad,91184,72838
40,../datasets/vectors/00/e0/e02971a7dcdeade26b961450371c,16897,16534
41,../datasets/vectors/00/e0/e5f852830b66b0a7b9e9def1aede,70627,57611
42,../datasets/vectors/00/e0/fb4182eed7c8f38df6069a1bb908,57620,48576
43,../datasets/vectors/00/e1/0956e207c90759f57d50ec4168d1,99067,64201
44,../datasets/vectors/00/e1/313cfe68504e1699cc3ed0a7a728,71603,59205
45,../datasets/vectors/00/e1/3b4a6e346107b58c0073e6204e47,52963,44589
46,../datasets/vectors/00/e1/782484dd61daf03bebcce2398e60,78440,65357
47,../datasets/vectors/00/e1/7905cb7a51572a9163c2db770ae3,132577,81412
48,../datasets/vectors/00/e1/7f5de33b45d9d1ef0d22953808aa,14632,14747
49,../datasets/vectors/00/e1/8a3bbc27587e55ea31ae5b58f7fb,215233,159945
50,../datasets/vectors/00/e1/d038639b0dc89b4fe7b26c08413e,348650,252943
